Book Name,Authors,Info,Image URL
"The Queen of the Damned (The Vampire Chronicles, No. 3)",Anne Rice,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345351525"", ""Release Date:"": ""September 1989"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""512 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""6.8\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41J31i0D8ZL._SL350_.jpg
Nocturne,Syrie James,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1593156286"", ""ISBN13:"": ""9781593156282"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""Vanguard Press"", ""Length:"": ""281 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.0\"" x 5.8\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/2228F29DD4D3EB4FEF8E90BB0B742AB19F2CEA5D.jpeg
Darkness Unleashed,Alexandra Ivy,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1420124552"", ""ISBN13:"": ""9781420124552"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""Zebra"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""1.0\"" x 4.2\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/252465FD16DED7F9DC734FE7417A7DF69B5819C7.jpeg
Kissing Sin,Keri Arthur,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""055358846X"", ""ISBN13:"": ""9780553588460"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Dell"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""1.1\"" x 4.2\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/0B807F2A2DC7402DE384ADC3EF99F3A0C38B70E1.jpeg
Tempting Evil,Keri Arthur,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440246407"", ""ISBN13:"": ""9780440246404"", ""Release Date:"": ""September 2010"", ""Publisher:"": ""Dell Publishing Company"", ""Length:"": ""371 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""1.1\"" x 4.1\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/D32F34DBAB065E4A8F3D88823004DEF53DACAF2E.jpeg
Vampire in Europe: True Tales of the Undead,Montague Summers,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0517149893"", ""ISBN13:"": ""9780517149898"", ""Release Date:"": ""June 1996"", ""Publisher:"": ""Gramercy Books"", ""Length:"": ""329 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.2\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/45EE070EC001A7532B237ACF6753901FD868E28D.jpeg
Dracula,Bram Stoker,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451523377"", ""ISBN13:"": ""9780451523372"", ""Release Date:"": ""August 1986"", ""Publisher:"": ""Signet Classics"", ""Length:"": ""382 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""0.7\"" x 4.2\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/240F2840413B6B0091D728A51FA6F931CACB2F68.jpeg
"I'm the Vampire, That's Why (Broken Heart, Oklahoma, Book 1)",Michele Bardsley,"{"""": """"}",https://m.media-amazon.com/images/I/41q2A0E0H6L._SL350_.jpg
Yours for Eternity,Hannah Howell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0758247370"", ""ISBN13:"": ""9780758247377"", ""Release Date:"": ""January 2010"", ""Publisher:"": ""Kensington Publishing Corporation"", ""Length:"": ""280 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.9\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/EC9AEA8B67E5E3C5F05894662546D3B84A041B1D.jpeg
Look for Me by Moonlight,Mary Downing Hahn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0547076169"", ""Release Date:"": ""September 2008"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""7.0\"" x 0.4\"" x 5.0\""""}",https://m.media-amazon.com/images/I/31BZqYxfziL._SL350_.jpg
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316015849"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""8.3\"" x 2.0\"" x 5.5\""""}",https://m.media-amazon.com/images/I/318nujF5v5L._SL350_.jpg
New Moon (Twilight),Stephenie Meyer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316160199"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""608 Pages"", ""Weight:"": ""1.49 lbs."", ""Dimensions:"": ""8.6\"" x 1.8\"" x 6.0\""""}",https://m.media-amazon.com/images/I/91fVJKUvF7L._SL350_.jpg
Eclipse (Twilight),Stephenie Meyer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316160202"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Little, Brown"", ""Length:"": ""629 Pages"", ""Weight:"": ""1.68 lbs."", ""Dimensions:"": ""8.5\"" x 2.0\"" x 5.9\""""}",https://m.media-amazon.com/images/I/31pJMbdC6kL._SL350_.jpg
Breaking Dawn,Stephenie Meyer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316067938"", ""ISBN13:"": ""9780316067935"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""768 Pages"", ""Weight:"": ""1.57 lbs."", ""Dimensions:"": ""2.1\"" x 5.4\"" x 8.2\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/FD4B4FE71917B92C9B4040F40D19F6261437BF7B.jpeg
Interview with the Vampire,Anne Rice,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345337662"", ""Release Date:"": ""September 1991"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.57 lbs."", ""Dimensions:"": ""6.9\"" x 0.9\"" x 4.1\""""}",https://m.media-amazon.com/images/I/41nx412z55L._SL350_.jpg
A Discovery of Witches,Deborah Harkness,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670022411"", ""ISBN13:"": ""9780670022410"", ""Release Date:"": ""February 2011"", ""Publisher:"": ""Viking"", ""Length:"": ""592 Pages"", ""Weight:"": ""1.53 lbs."", ""Dimensions:"": ""1.9\"" x 6.4\"" x 9.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/F85C99741797458A5741ACCAED8992681B019161.jpeg
"Rare Salem’s Lot by Stephen King (1975, Hardcover) Early Edition HCDJ",Stephen King,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""B08Y732ZDW"", ""Release Date:"": ""January 1"", ""Publisher:"": ""Generic"", ""Weight:"": ""1.40 lbs.""}",https://m.media-amazon.com/images/I/41NzVhyoIsL._SL350_.jpg
Midnight Sun,Stephenie Meyer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""031670704X"", ""ISBN13:"": ""9780316707046"", ""Release Date:"": ""August 2020"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""672 Pages"", ""Weight:"": ""1.95 lbs."", ""Dimensions:"": ""2.2\"" x 6.4\"" x 9.0\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/68FD35627A152A96536F1456D458D81E8158FF96.jpeg
The Witching Hour,Anne Rice,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394587863"", ""Release Date:"": ""October 1990"", ""Publisher:"": ""Knopf"", ""Length:"": ""976 Pages"", ""Weight:"": ""3.03 lbs."", ""Dimensions:"": ""9.5\"" x 1.5\"" x 6.5\""""}",https://m.media-amazon.com/images/I/41NA6B5oZ6L._SL350_.jpg
