Book Name,Authors,Info,Image URL
The Zombie Survival Guide: Recorded Attacks,Ibraim Roberson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""030740577X"", ""ISBN13:"": ""9780307405777"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""Del Rey Books"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.4\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1E55C4756BC2297E9E0EB7847468753B38DA238A.jpeg
Walking Dead Book 1,Robert Kirkman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1582406197"", ""ISBN13:"": ""9781582406190"", ""Release Date:"": ""July 2006"", ""Publisher:"": ""Image Comics"", ""Length:"": ""304 Pages"", ""Weight:"": ""2.40 lbs."", ""Dimensions:"": ""0.8\"" x 7.3\"" x 10.9\"""", ""Age Range:"": ""16 years and up"", ""Grade Range:"": ""Grade 11 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/EC862F16BD6B462980FBD21BDA34BAD582CB8846.jpeg
Walking Dead Compendium Volume 2,Robert Kirkman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1607065967"", ""ISBN13:"": ""9781607065968"", ""Release Date:"": ""October 2012"", ""Publisher:"": ""Image Comics"", ""Length:"": ""1068 Pages"", ""Weight:"": ""4.60 lbs."", ""Dimensions:"": ""1.8\"" x 6.6\"" x 10.1\"""", ""Age Range:"": ""16 years and up"", ""Grade Range:"": ""Grade 11 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/25813A7B80A69BA50CA83774E1844B80C1D498DD.jpeg
Walking Dead Volume 6: This Sorrowful Life,Robert Kirkman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1582406847"", ""ISBN13:"": ""9781582406848"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Image Comics"", ""Length:"": ""136 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.3\"" x 6.6\"" x 10.1\"""", ""Age Range:"": ""16 years and up"", ""Grade Range:"": ""Grade 11 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/69751A616490727D2EE540CEB1A561DBD24450B6.jpeg
Walking Dead Book 3,"Kirkman, Robert","{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1582408254"", ""ISBN13:"": ""9781582408255"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Image Comics"", ""Length:"": ""304 Pages"", ""Weight:"": ""2.25 lbs."", ""Dimensions:"": ""0.8\"" x 7.5\"" x 11.1\"""", ""Age Range:"": ""16 years and up"", ""Grade Range:"": ""Grade 11 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/A4D7346803B05F53B0644153BAAC3C9DDC9BF089.jpeg
Creature Tech,Doug TenNapel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1891830341"", ""ISBN13:"": ""9781891830341"", ""Release Date:"": ""March 2003"", ""Publisher:"": ""Top Shelf Productions"", ""Length:"": ""208 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""0.6\"" x 7.2\"" x 10.7\"""", ""Age Range:"": ""13 to 16 years"", ""Grade Range:"": ""Grades 8 to 11""}",https://i.thriftbooks.com/api/imagehandler/m/CCC8EB5BDC8BCE72404F95EAFA3B9F0490D3F3C5.jpeg
Dead Inside: Do Not Enter: Notes from the Zombie Apocalypse: A Lost Zombies Book,Lost Zombies,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1452101086"", ""ISBN13:"": ""9781452101088"", ""Release Date:"": ""September 2011"", ""Publisher:"": ""Chronicle Books"", ""Length:"": ""160 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""0.5\"" x 7.9\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/01162FA3CFDEAF93EB4E0FBD8EC60BBEE7BA11FD.jpeg
Nothin' But Misery,Eric Powell,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/2CE07F98205F7CA45E83A4D806459ED3D2161B6F.jpeg
"Izombie, Volume 3: Six Feet Under & Rising",Chris Roberson,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/8EF841948E07588EA0F033824D154806A1B43DBB.jpeg
The Goon: Volume 3: Heaps of Ruination,Eric Powell,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/FACA964BC64AAC8BF1A7905AE22DE86ABCFAF4A6.jpeg
